Ref,LEA Name,City,County,LEA Type,SB 978 Landing Page,Internet Archive Wayback URL,Policy Materials,Training Materials
SB978-285,Los Angeles Port Police Department,Los Angeles,Los Angeles County,Port,https://www.portoflosangeles.org/about/los-angeles-port-police/policies-and-procedures-training-sb-978,https://wayback.archive-it.org/16422/*/https://www.portoflosangeles.org/about/los-angeles-port-police/policies-and-procedures-training-sb-978,https://kentico.portoflosangeles.org/getmedia/c9fa7d7a-b857-4864-9cc4-5b614c477a50/2020-Los-Angeles-Port-Police-Policy-Manual,Not Available
SB978-287,Los Angeles School Police Department,Los Angeles,Los Angeles County,School,https://achieve.lausd.net/Page/16354,https://wayback.archive-it.org/16422/*/https://achieve.lausd.net/Page/16354,https://achieve.lausd.net/cms/lib/CA01000043/Centricity/domain/596/laspd%20tech/policy/LASPD_Policy_Manual.pdf,https://achieve.lausd.net/Page/16354
SB978-289,Los Angeles World Airports Police Department,Los Angeles,Los Angeles County,Airport,https://www.lawa.org/groups-and-divisions/airport-police/about-us/office-of-support-services/laxpd-policies-and-procedures,https://wayback.archive-it.org/16422/*/https://www.lawa.org/groups-and-divisions/airport-police/about-us/office-of-support-services/laxpd-policies-and-procedures,https://www.lawa.org/groups-and-divisions/airport-police/about-us/office-of-support-services/laxpd-policies-and-procedures,Not Available
SB978-290,Los Banos Police Department,Los Banos,Merced County,Police,http://www.losbanos.org/city-government/departments/police/,https://wayback.archive-it.org/16422/*/http://www.losbanos.org/city-government/departments/police/,http://www.losbanos.org/wp-content/uploads/2021/01/12-23-2020-LBPD-Policy-Manual.pdf,http://www.losbanos.org/wp-content/uploads/2020/03/2020-Training-Plan.pdf
SB978-291,Los Gatos/Monte Sereno Police Department,Los Gatos/Monte Sereno,Santa Clara County,Police,https://www.losgatosca.gov/2571/Policy,https://wayback.archive-it.org/16422/*/https://www.losgatosca.gov/2571/Policy,https://www.losgatosca.gov/DocumentCenter/View/24959/RELEASE_20200611_T194221_Los_Gatos-Monte_Sereno_Police_Department_Policy_Manual,Not Available
SB978-292,Los Rios Community College District Police Department,Sacramento,Sacramento County,College/University,https://police.losrios.edu/about-los-rios-police-department/policy-manual,https://wayback.archive-it.org/16422/*/https://police.losrios.edu/about-los-rios-police-department/policy-manual,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,Not Available
SB978-295,Madera County Sheriff's Department,Madera,Madera County,Sheriff,https://www.maderacounty.com/government/sheriff,https://wayback.archive-it.org/16422/*/https://www.maderacounty.com/government/sheriff,https://www.maderacounty.com/home/showdocument?id=19312,Not Available
SB978-296,Madera Police Department,Madera,Madera County,Police,https://www.madera.gov/home/departments/police/,https://wayback.archive-it.org/16422/*/https://www.madera.gov/home/departments/police/,https://www.madera.gov/wp-content/uploads/2019/07/RELEASE_20190305_T140725_Madera_PD_Policy_Manual.pdf,Not Available
SB978-297,Mammoth Lakes Police Department,Mammoth Lakes,Mono County,Police,https://www.townofmammothlakes.ca.gov/942/Policies-and-Training,https://wayback.archive-it.org/16422/*/https://www.townofmammothlakes.ca.gov/942/Policies-and-Training,https://www.townofmammothlakes.ca.gov/DocumentCenter/View/10077/Mammoth-Lakes-Police-Department-Policy-Manual---Updated-02172021?bidId=,https://www.townofmammothlakes.ca.gov/942/Policies-and-Training
SB978-298,Manhattan Beach Police Department,Manhattan Beach,Los Angeles County,Police,https://www.citymb.info/departments/police-department/policies-and-practices,https://wayback.archive-it.org/16422/*/https://www.citymb.info/departments/police-department/policies-and-practices,https://www.citymb.info/home/showdocument?id=41283,https://www.citymb.info/departments/police-department/policies-and-practices
SB978-299,Manteca Police Department,Manteca,San Joaquin County,Police,https://www.ci.manteca.ca.us/Police/Pages/Training-Documents.aspx,https://wayback.archive-it.org/16422/*/https://www.ci.manteca.ca.us/Police/Pages/Training-Documents.aspx,https://www.ci.manteca.ca.us/Police/PublicAffairs/Documents/PolicePolicyManual.pdf,https://www.ci.manteca.ca.us/Police/Pages/Training-Documents.aspx
SB978-300,Marin Community College District Police Department,Kentfield,Marin County,College/University,http://police.marin.edu/,https://wayback.archive-it.org/16422/*/http://police.marin.edu/,http://police.marin.edu/sites/police/files/MCCD-Police-Policy-Manual.pdf,Not Available
SB978-303,Marin County Sheriff's Department,San Rafael,Marin County,Sheriff,https://www.marinsheriff.org/publications/policies-and-procedures,https://wayback.archive-it.org/16422/*/https://www.marinsheriff.org/publications/policies-and-procedures,https://www.marinsheriff.org/publications/policies-and-procedures,https://www.marinsheriff.org/publications/policies-and-procedures
SB978-305,Marina Department of Public Safety,Marina,Monterey County,Police,https://www.cityofmarina.org/17/Police-Department,https://wayback.archive-it.org/16422/*/https://www.cityofmarina.org/17/Police-Department,https://www.cityofmarina.org/DocumentCenter/View/10733/RELEASE_20200701_T164506_Marina_Police_Department_Policy_Manual?bidId=,Not Available
SB978-308,Martinez Police Department,Martinez,Contra Costa County,Police,https://www.cityofmartinez.org/depts/police/resources/ca_legislative_information_sb_978.asp,https://wayback.archive-it.org/16422/*/https://www.cityofmartinez.org/depts/police/resources/ca_legislative_information_sb_978.asp,https://www.cityofmartinez.org/civicax/filebank/blobdload.aspx?BlobID=19830,https://www.cityofmartinez.org/depts/police/resources/ca_legislative_information_sb_978.asp
SB978-309,Marysville Police Department,Marysville,Yuba County,Police,https://www.marysvillepd.org/department-policies,https://wayback.archive-it.org/16422/*/https://www.marysvillepd.org/department-policies,https://930ef3d4-5af0-4e12-ac23-f0a956943c97.filesusr.com/ugd/a4cd76_0545882fa3fa476ea8cc321a0fab4a40.pdf,Not Available
SB978-310,McFarland Police Department,McFarland,Kern County,Police,http://www.mcfarlandcity.org/333/CA-Senate-Bill-978-Compliance,https://wayback.archive-it.org/16422/*/http://www.mcfarlandcity.org/333/CA-Senate-Bill-978-Compliance,http://www.mcfarlandcity.org/DocumentCenter/View/2117/Redacted-20200518_T172742_McFarland__PD_Policy_Manual-1,Not Available
SB978-313,Mendocino County Sheriff's Department,Ukiah,Mendocino County,Sheriff,https://mendocinosheriff.com/publications/sb-978-materials/,https://wayback.archive-it.org/16422/*/https://mendocinosheriff.com/publications/sb-978-materials/,https://mendocinosheriff.com/publications/sb-978-materials/,https://mendocinosheriff.com/publications/sb-978-materials/
